ID,EquipmentType,Sprites,Effects
LeftHand_72mono70nai_001,LeftHand,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Back; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Thumb; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Index; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Middle; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Ring; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_LeftHand_Little,
RightHand_72mono70nai_001,RightHand,Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Back; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Thumb; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Index; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Middle; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Ring; Assets/Sprites/Character/Character_72mono70nai.png=Character_72mono70nai_RightHand_Little,
Hair_Teto_001,Hair,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Hair,
BackHair_Teto_001,BackHair,Assets/Sprites/Character/Character_Teto.png=Character_Teto_BackHair; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftBackHair; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightBackHair,
Head_Teto_001,Head,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Head,
Face_Teto_001,Face,Assets/Sprites/Character/Character_Teto.png=Character_Teto_Eye,
UpperBody_Teto_001,UpperBody,Assets/Sprites/Character/Character_Teto.png=Character_Teto_UpperBody; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightArm; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftArm,
LowerBody_Teto_001,LowerBody,Assets/Sprites/Character/Character_Teto.png=Character_Teto_LowerBody; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightLeg; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightFoot; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftLeg; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftFoot,
LeftHand_Teto_001,LeftHand,Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Back; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Thumb; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Index; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Middle; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Ring; Assets/Sprites/Character/Character_Teto.png=Character_Teto_LeftHand_Little,
RightHand_Teto_001,RightHand,Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Back; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Thumb; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Index; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Middle; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Ring; Assets/Sprites/Character/Character_Teto.png=Character_Teto_RightHand_Little,
Hair_Neru_001,Hair,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Hair,
BackHair_Neru_001,BackHair,Assets/Sprites/Character/Character_Neru.png=Character_Neru_BackHair; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftBackHair; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightBackHair,
Head_Neru_001,Head,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Head,
Face_Neru_001,Face,Assets/Sprites/Character/Character_Neru.png=Character_Neru_Eye,
UpperBody_Neru_001,UpperBody,Assets/Sprites/Character/Character_Neru.png=Character_Neru_UpperBody; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightArm; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftArm,
LowerBody_Neru_001,LowerBody,Assets/Sprites/Character/Character_Neru.png=Character_Neru_LowerBody; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightLeg; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightFoot; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftLeg; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftFoot,
LeftHand_Neru_001,LeftHand,Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Back; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Thumb; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Index; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Middle; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Ring; Assets/Sprites/Character/Character_Neru.png=Character_Neru_LeftHand_Little,
RightHand_Neru_001,RightHand,Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Back; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Thumb; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Index; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Middle; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Ring; Assets/Sprites/Character/Character_Neru.png=Character_Neru_RightHand_Little,
Hair_DecoTelepathy_001,Hair,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_Hair,
BackHair_DecoTelepathy_001,BackHair,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_BackHair; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftBackHair; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightBackHair,
Head_DecoTelepathy_001,Head,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_Head,
Face_DecoTelepathy_001,Face,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_Eye,
UpperBody_DecoTelepathy_001,UpperBody,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_UpperBody; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightArm; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftArm,
LowerBody_DecoTelepathy_001,LowerBody,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LowerBody; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightLeg; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightFoot; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftLeg; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftFoot,
LeftHand_DecoTelepathy_001,LeftHand,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Back; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Thumb; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Index; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Middle; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Ring; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_LeftHand_Little,
RightHand_DecoTelepathy_001,RightHand,Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Back; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Thumb; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Index; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Middle; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Ring; Assets/Sprites/Character/Character_DecoTelepathy.png=Character_DecoTelepathy_RightHand_Little,
Hair_LagTrain_001,Hair,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_Hair,
BackHair_LagTrain_001,BackHair,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_BackHair; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftBackHair; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightBackHair,
Head_LagTrain_001,Head,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_Head,
Face_LagTrain_001,Face,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_Eye,
UpperBody_LagTrain_001,UpperBody,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_UpperBody; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightArm; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftArm,
LowerBody_LagTrain_001,LowerBody,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LowerBody; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightLeg; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightFoot; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftLeg; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftFoot,
LeftHand_LagTrain_001,LeftHand,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Back; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Thumb; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Index; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Middle; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Ring; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_LeftHand_Little,
RightHand_LagTrain_001,RightHand,Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Back; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Thumb; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Index; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Middle; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Ring; Assets/Sprites/Character/Character_LagTrain.png=Character_LagTrain_RightHand_Little,
Hair_LemonMelonCookie_001,Hair,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_Hair,
BackHair_LemonMelonCookie_001,BackHair,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_BackHair; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftBackHair; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightBackHair,
Accessory_LemonMelonCookie_001,Accessory,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_Accessory,
Head_LemonMelonCookie_001,Head,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_Head,
Face_LemonMelonCookie_001,Face,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_Eye,
UpperBody_LemonMelonCookie_001,UpperBody,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_UpperBody; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightArm; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftArm,
LowerBody_LemonMelonCookie_001,LowerBody,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LowerBody; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightLeg; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightFoot; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftLeg; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftFoot,
LeftHand_LemonMelonCookie_001,LeftHand,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Back; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Thumb; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Index; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Middle; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Ring; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_LeftHand_Little,
RightHand_LemonMelonCookie_001,RightHand,Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Back; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Thumb; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Index; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Middle; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Ring; Assets/Sprites/Character/Character_LemonMelonCookie_Miku.png=Character_LemonMelonCookie_Miku_RightHand_Little,
Hair_Odotchina_Miku_001,Hair,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_Hair,
BackHair_Odotchina_Miku_001,BackHair,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_BackHair; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftBackHair; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightBackHair,
Accessory_Odotchina_Miku_001,Accessory,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_Accessory,
Head_Odotchina_Miku_001,Head,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_Head,
Face_Odotchina_Miku_001,Face,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_Eye,
UpperBody_Odotchina_Miku_001,UpperBody,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_UpperBody; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightArm; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftArm,
LowerBody_Odotchina_Miku_001,LowerBody,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LowerBody; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightLeg; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightFoot; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftLeg; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftFoot,
LeftHand_Odotchina_Miku_001,LeftHand,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Back; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Thumb; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Index; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Middle; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Ring; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_LeftHand_Little,
RightHand_Odotchina_Miku_001,RightHand,Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Back; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Thumb; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Index; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Middle; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Ring; Assets/Sprites/Character/Character_Odotchina_Miku.png=Character_Odotchina_Miku_RightHand_Little,
Hair_Odotchina_Teto_001,Hair,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_Hair,
BackHair_Odotchina_Teto_001,BackHair,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_BackHair; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftBackHair; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightBackHair,
Hat_Odotchina_Teto_001,Hat,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_Hat,
Head_Odotchina_Teto_001,Head,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_Head,
Face_Odotchina_Teto_001,Face,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_Eye,
UpperBody_Odotchina_Teto_001,UpperBody,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_UpperBody; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightArm; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftArm,
LowerBody_Odotchina_Teto_001,LowerBody,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LowerBody; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightLeg; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightFoot; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftLeg; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftFoot,
LeftHand_Odotchina_Teto_001,LeftHand,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Back; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Thumb; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Index; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Middle; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Ring; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_LeftHand_Little,
RightHand_Odotchina_Teto_001,RightHand,Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Back; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Thumb; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Index; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Middle; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Ring; Assets/Sprites/Character/Character_Odotchina_Teto.png=Character_Odotchina_Teto_RightHand_Little,

